timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T084510.00-0300,-29.206576,-50.896623,0.07,7,826.70,1.19
20251030T084511.00-0300,-29.206571,-50.896629,0.13,7,827.10,1.19
20251030T084513.00-0300,-29.206564,-50.896637,0.09,7,827.60,1.19
20251030T084514.00-0300,-29.206560,-50.896640,0.04,7,827.80,1.19
20251030T084515.00-0300,-29.206558,-50.896643,0.24,7,828.10,1.19
20251030T084516.00-0300,-29.206552,-50.896648,0.63,7,828.50,1.19
20251030T084517.00-0300,-29.206548,-50.896653,0.43,7,828.50,1.19
20251030T084518.00-0300,-29.206545,-50.896655,0.02,7,829.10,1.19
20251030T084519.00-0300,-29.206538,-50.896661,0.56,7,829.20,1.19
20251030T084520.00-0300,-29.206533,-50.896665,0.39,7,829.40,1.19
20251030T084521.00-0300,-29.206528,-50.896670,0.35,7,829.40,1.19
20251030T084522.00-0300,-29.206523,-50.896674,0.33,7,829.30,1.19
20251030T084523.00-0300,-29.206518,-50.896679,0.30,7,829.40,1.19
20251030T084524.00-0300,-29.206514,-50.896682,0.15,7,829.30,1.19
20251030T084525.00-0300,-29.206510,-50.896685,0.09,7,829.10,1.19
20251030T084526.00-0300,-29.206508,-50.896688,0.22,7,829.10,1.19
20251030T084527.00-0300,-29.206507,-50.896689,0.24,7,828.90,1.19
20251030T084528.00-0300,-29.206506,-50.896692,0.11,7,829.10,1.19
20251030T084529.00-0300,-29.206505,-50.896694,0.17,7,829.30,1.19
20251030T084530.00-0300,-29.206504,-50.896696,0.11,7,829.60,1.19
20251030T084531.00-0300,-29.206504,-50.896698,0.26,7,829.90,1.19
20251030T084532.00-0300,-29.206504,-50.896701,0.07,7,830.20,1.19
20251030T084533.00-0300,-29.206502,-50.896705,0.11,7,830.40,1.19
20251030T084534.00-0300,-29.206501,-50.896709,0.11,7,830.80,1.19
20251030T084535.00-0300,-29.206501,-50.896712,0.72,7,831.20,1.19
20251030T084536.00-0300,-29.206499,-50.896717,0.22,7,831.60,1.19
20251030T084537.00-0300,-29.206497,-50.896722,0.07,7,832.00,1.19
20251030T084538.00-0300,-29.206495,-50.896726,0.17,7,832.40,1.19
20251030T084539.00-0300,-29.206493,-50.896732,0.06,7,832.60,1.19
20251030T084540.00-0300,-29.206490,-50.896737,0.33,7,832.90,1.19
20251030T084541.00-0300,-29.206488,-50.896741,0.30,7,832.90,1.19
20251030T084542.00-0300,-29.206485,-50.896745,0.35,7,832.70,1.19
20251030T084543.00-0300,-29.206483,-50.896748,0.17,7,832.40,1.19
20251030T084544.00-0300,-29.206480,-50.896751,0.17,7,831.90,1.19
20251030T084545.00-0300,-29.206477,-50.896753,0.43,7,831.60,1.19
20251030T084546.00-0300,-29.206472,-50.896758,0.93,7,831.10,1.19
20251030T084547.00-0300,-29.206467,-50.896762,0.87,7,830.90,1.19
20251030T084549.00-0300,-29.206455,-50.896771,1.04,7,830.50,1.19
20251030T084550.00-0300,-29.206449,-50.896776,1.02,7,829.90,1.19
20251030T084551.00-0300,-29.206443,-50.896781,0.94,7,829.20,1.19
20251030T084552.00-0300,-29.206434,-50.896789,1.35,7,828.60,1.19
20251030T084553.00-0300,-29.206429,-50.896792,0.91,7,827.30,1.19
20251030T084554.00-0300,-29.206424,-50.896795,0.59,7,826.70,1.19
20251030T084555.00-0300,-29.206419,-50.896797,0.17,7,825.80,1.19
20251030T084556.00-0300,-29.206414,-50.896800,0.46,7,825.10,1.19
20251030T084557.00-0300,-29.206409,-50.896802,0.43,6,824.40,1.46
20251030T084558.00-0300,-29.206403,-50.896806,0.78,7,823.70,1.19
20251030T084559.00-0300,-29.206398,-50.896809,0.67,6,823.00,1.46
20251030T084600.00-0300,-29.206391,-50.896813,0.72,6,822.30,1.46
20251030T084601.00-0300,-29.206385,-50.896817,0.65,6,821.50,1.46
20251030T084602.00-0300,-29.206381,-50.896819,0.13,6,820.80,1.46
20251030T084603.00-0300,-29.206375,-50.896822,0.22,6,820.10,1.46
20251030T084604.00-0300,-29.206369,-50.896826,0.17,6,819.40,1.46
20251030T084605.00-0300,-29.206366,-50.896828,0.56,6,818.60,1.46
20251030T084606.00-0300,-29.206352,-50.896843,1.11,6,817.60,1.46
20251030T084607.00-0300,-29.206345,-50.896852,1.00,6,816.90,1.46
20251030T084608.00-0300,-29.206337,-50.896858,0.91,6,816.20,1.46
20251030T084609.00-0300,-29.206331,-50.896864,0.57,6,815.40,1.46
20251030T084610.00-0300,-29.206332,-50.896861,0.59,7,815.60,1.19
20251030T084611.00-0300,-29.206336,-50.896855,0.28,7,815.90,1.19
20251030T084612.00-0300,-29.206341,-50.896849,0.17,7,816.00,1.19
20251030T084613.00-0300,-29.206343,-50.896844,0.24,7,816.30,1.19
20251030T084614.00-0300,-29.206346,-50.896840,0.20,7,816.40,1.19
20251030T084615.00-0300,-29.206352,-50.896832,1.11,7,816.70,1.19
20251030T084616.00-0300,-29.206351,-50.896835,1.56,7,817.10,1.19
20251030T084617.00-0300,-29.206356,-50.896829,0.59,7,817.80,1.19
20251030T084618.00-0300,-29.206365,-50.896818,0.41,7,818.40,1.19
20251030T084619.00-0300,-29.206375,-50.896807,0.89,7,819.00,1.19
